29 AND 2 immediate
78 SEI 1 implicit
84 STY 2 zeropage
8D STA 3 absolute
9A TXS 1 implicit
A0 LDY 2 immediate
A2 LDX 2 immediate
A9 LDA 2 immediate
AD LDA 3 absolute
D8 CLD 1 implicit
F0 BEQ 2 relative
